School,Region,Conference Power,EOS Conf,Conf Tournament,SOS,Losses,Underclassmen,FT% Rank,FT%,RPG Rank,RPG,APG Rank,APG,PPG Rank,PPG,Opp PPG Rank,Opp PPG,TOPG Rank,TOPG,BPI,,Adjusted Values,,,,,,,,,,,Composite
Marshall,East,9,4,1,147,10,2,39,75.8,135,35.8,10,17.4,12,84.5,325,79.3,238,13.6,124,,5.306859206,5,2,0.565217391,3.004473327,0.230786984,0.28708134,7.232991343,5.204460967,5.10989011,,47.9418
Miami,South,1,3,5,42,9,3,315,66.6,178,34.8,195,13.4,163,74.4,54,67.5,46,11.4,35,,1.516245487,4.5,3,4.565217391,3.96145372,4.50034618,3.899521531,1.201789331,1.00590422,1.442307692,,38.5928
Michigan,West,6,5,1,14,7,2,324,65.9,259,33.4,99,14.8,162,74.5,9,63.5,2,9.1,14,,0.505415163,3.5,2,4.695652174,5.764137716,2.284791138,3.875598086,0.200298222,0.043734966,0.576923077,,35.4466
Michigan St,Midwest,6,1,3,20,4,5,51,75.1,6,40.8,1,19.3,42,81,20,64.8,189,13.2,6,,0.722021661,2,5,0.739130435,0.133532148,0.023078698,1.004784689,0.44510716,4.132954297,0.247252747,,24.4479
Missouri,West,2,5,9,39,12,1,82,73.7,82,36.8,168,13.7,182,73.7,72,68.3,299,14.4,45,,1.407942238,6,1,1.188405797,1.824939354,3.877221325,4.354066986,1.602385774,6.538377433,1.854395604,,45.6477
Montana,West,9,1,1,182,7,0,201,70.7,65,37.4,225,13,82,77.4,63,67.9,154,12.7,105,,6.570397112,3.5,0,2.913043478,1.446598269,5.192707131,1.961722488,1.402087553,3.36759239,4.326923077,,41.6811
Murray State,East,9,1,1,159,5,1,111,73,84,36.8,97,14.8,60,78.9,27,65,76,11.9,62,,5.740072202,2.5,1,1.608695652,1.86945007,2.238633741,1.435406699,0.600894665,1.661928712,2.554945055,,32.21
NC State,Midwest,1,5,9,53,11,3,219,70.3,139,35.7,34,16.1,40,81,222,73.9,104,12.2,47,,1.913357401,5.5,3,3.173913043,3.093494759,0.784675744,0.956937799,4.940689471,2.274218237,1.936813187,,42.5741
Nevada,South,8,1,3,78,7,0,57,74.8,120,36,29,16.4,17,83.5,176,72.3,9,10.1,31,,2.815884477,3.5,0,0.826086957,2.670642957,0.669282253,0.406698565,3.916943004,0.196807348,1.277472527,,28.2798
New Mexico St,Midwest,9,1,1,121,5,1,345,63.6,5,41,120,14.4,147,75,8,63.2,150,12.7,69,,4.368231047,2.5,1,5,0.11127679,2.769443803,3.516746411,0.178042864,3.280122458,2.843406593,,36.5673
North Carolina,West,1,6,2,1,10,0,86,73.6,1,42.5,5,18.1,22,83,224,74,111,12.3,7,,0.036101083,5,0,1.246376812,0.022255358,0.115393492,0.52631579,4.985200187,2.427290619,0.288461539,,23.6474
Ohio State,West,6,2,5,32,8,1,121,72.6,91,36.7,102,14.8,120,75.8,41,66.7,71,11.8,16,,1.155234657,4,1,1.753623188,2.025237576,2.354027233,2.870813397,0.912469677,1.552591297,0.659340659,,31.2833
Oklahoma,Midwest,3,8,9,9,13,2,49,75.2,48,37.9,77,15.2,4,86,337,82,217,13.4,42,,0.324909747,6.5,2,0.710144928,1.068257183,1.777059774,0.09569378,7.500055638,4.745243822,1.730769231,,46.4521
Providence,West,4,5,2,31,13,2,232,70,125,35.9,160,13.9,174,74,188,72.7,155,12.7,67,,1.119133574,6.5,2,3.362318841,2.781919747,3.692591738,4.162679426,4.1840073,3.389459873,2.760989011,,44.9531
Purdue,East,6,3,2,12,6,1,68,74.3,172,35,21,16.7,37,81.1,29,65.6,16,10.7,4,,0.433212996,3,1,0.985507246,3.827921572,0.484652666,0.885167464,0.645405381,0.349879729,0.164835165,,22.7766
Rhode Island,Midwest,7,1,2,76,7,1,157,71.6,206,34.3,83,15.1,99,76.4,57,67.6,21,10.8,32,,2.74368231,3.5,1,2.275362319,4.584603743,1.915531964,2.368421053,1.268555405,0.459217144,1.318681319,,31.4341
San Diego St,West,8,5,1,85,10,2,149,71.9,61,37.5,82,15.2,81,77.4,66,68,73,11.9,51,,3.068592058,5,2,2.15942029,1.357576837,1.892453266,1.937799043,1.468853627,1.596326263,2.101648352,,36.5827
Seton Hall,Midwest,4,3,5,23,11,1,266,69,33,38.2,45,15.9,59,79.2,199,73.3,161,12.8,27,,0.83032491,5.5,1,3.855072464,0.734426813,1.038541426,1.411483254,4.428816238,3.520664771,1.112637363,,35.432
SFA,East,9,3,1,277,6,1,224,70.3,171,35,115,14.5,33,81.8,84,68.7,343,15.7,108,,10,3,1,3.246376812,3.805666214,2.654050312,0.789473684,1.86945007,7.500546687,4.450549451,,51.3161
South Dakota St,West,9,1,1,114,6,1,33,76.1,31,38.3,181,13.6,10,84.7,228,74.2,11,10.1,86,,4.115523466,3,1,0.47826087,0.689916097,4.177244403,0.23923445,5.074221619,0.240542314,3.543956044,,33.5589
St. Bonaventure,East,7,2,3,82,7,1,28,76.5,149,35.6,144,14.1,71,78,125,70.4,62,11.7,57,,2.960288809,3.5,1,0.405797101,3.316048339,3.323332564,1.698564593,2.781919747,1.355783949,2.348901099,,34.6906
Syracuse,Midwest,1,11,9,49,13,2,81,73.7,68,37.4,325,11.1,308,67.6,14,64.1,122,12.4,53,,1.768953069,6.5,2,1.173913043,1.513364342,7.500576967,7.368421053,0.311575012,2.667832932,2.184065934,,53.9887
TCU,Midwest,3,5,5,18,11,2,174,71.2,101,36.4,2,18.9,16,83.9,274,76.3,144,12.6,22,,0.649819495,5.5,2,2.52173913,2.247791156,0.046157397,0.38277512,6.097968086,3.14891756,0.906593407,,36.5018
Tennessee,South,2,2,2,10,8,3,38,75.8,109,36.2,38,16,164,74.4,35,66.3,105,12.2,15,,0.36101083,4,3,0.550724638,2.42583402,0.876990538,3.923444976,0.778937529,2.296085721,0.618131868,,24.8312
Texas,South,3,7,5,7,14,3,314,66.6,145,35.6,315,11.5,231,71.9,71,68.2,94,12.1,40,,0.252707581,7,3,4.550724638,3.227026907,7.269789984,5.526315789,1.580130416,2.055543407,1.648351648,,51.1106
Texas A&M,West,2,8,9,15,12,2,319,66.5,3,41.3,51,15.8,139,75.2,109,69.8,222,13.5,38,,0.541516246,6,2,4.623188406,0.066766074,1.177013616,3.325358852,2.42583402,4.854581238,1.565934066,,45.5802
Texas Tech,East,3,2,3,11,9,2,200,70.7,132,35.8,115,14.5,123,75.7,17,64.5,151,12.7,12,,0.397111913,4.5,2,2.898550725,2.937707253,2.654050312,2.942583732,0.378341086,3.301989941,0.494505495,,30.5048
UCLA,out,7,4,3,57,11,2,137,72.2,21,38.8,80,15.2,26,82.2,273,76.2,99,12.1,55,,2.057761733,5.5,2,1.985507246,0.467362518,1.846295869,0.622009569,6.075712728,2.164880822,2.266483516,,38.986
UNCG,West,9,1,1,163,7,1,233,69.9,93,36.7,124,14.3,178,73.8,6,62.8,262,13.8,87,,5.884476534,3.5,1,3.376811594,2.069748292,2.861758597,4.258373206,0.133532148,5.72928056,3.585164835,,43.3991
Villanova,East,4,2,1,6,4,1,26,76.8,151,35.5,17,16.9,1,87.2,144,71.2,12,10.4,1,,0.216606498,2,1,0.376811594,3.360559055,0.392337872,0.023923445,3.204771549,0.262409797,0.041208791,,17.8786
Virginia,South,1,1,1,5,2,2,40,75.6,297,32.6,176,13.6,314,67.3,1,52.8,1,8.8,2,,0.180505415,1,2,0.579710145,6.609841319,4.061850912,7.511961722,0.022255358,0.021867483,0.082417582,,25.0704
Virginia Tech,East,1,7,9,36,11,2,194,70.9,279,33,24,16.5,47,80.2,160,71.8,88,12,29,,1.299638989,5.5,2,2.811594203,6.209244876,0.553888761,1.124401914,3.560857276,1.924338509,1.195054945,,43.179
West Virginia,East,3,3,2,4,10,2,27,76.7,47,37.9,81,15.2,44,80.4,91,68.9,34,11.3,10,,0.144404332,5,2,0.391304348,1.046001825,1.869374567,1.052631579,2.025237576,0.743494424,0.412087912,,22.6845
Wichita State,East,7,2,3,44,7,2,93,73.5,9,40.3,3,18.8,20,83.1,135,70.8,49,11.5,11,,1.588447653,3.5,2,1.347826087,0.200298222,0.069236095,0.4784689,3.004473327,1.07150667,0.453296703,,25.7136
Wright State,South,9,2,1,200,9,2,181,71.2,108,36.2,194,13.4,220,72.5,36,66.4,221,13.4,134,,7.220216606,4.5,2,2.623188406,2.403578662,4.477267482,5.263157895,0.801192887,4.832713755,5.521978022,,51.6433
Xavier,West,4,1,3,19,5,2,7,78.5,26,38.4,20,16.7,11,84.5,243,74.9,148,12.7,13,,0.685920578,2.5,2,0.101449275,0.578639307,0.461573967,0.263157895,5.408051989,3.236387492,0.535714286,,23.7709
